image_path,label
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass359.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper70.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard151.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper58.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass365.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard179.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic89.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard98.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass403.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass417.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard67.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper452.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard186.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic76.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal123.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper334.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal137.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper320.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper446.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic62.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard192.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper308.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard347.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass173.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic226.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal321.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass198.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass10.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard390.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper122.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal335.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic232.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass38.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal309.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal308.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass39.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard391.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass11.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic233.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal334.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper137.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic227.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass199.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass172.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass166.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard352.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard346.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper309.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper447.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard72.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic77.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard187.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard66.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal122.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass416.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard99.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic88.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard178.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper59.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass402.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper484.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper71.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass358.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic9.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard144.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper490.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic179.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper269.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal56.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper255.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic145.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper533.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper527.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic151.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper241.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass204.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal95.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/trash131.jpg,trash
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal81.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass210.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/trash13.jpg,trash
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic186.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass238.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/trash119.jpg,trash
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper282.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic192.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal268.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic409.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic421.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal240.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic353.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic435.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal3.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic384.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard232.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic386.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard224.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard230.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal295.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic392.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal1.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal242.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic345.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic423.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal256.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic379.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic184.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic190.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper280.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/trash133.jpg,trash
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/trash39.jpg,trash
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass212.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal83.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/trash127.jpg,trash
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper531.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal68.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper257.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper243.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic153.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper525.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal54.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal40.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper73.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard146.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper67.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass372.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass414.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass366.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard70.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic61.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard191.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal134.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper323.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal120.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper337.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass399.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard64.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard185.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic75.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper451.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper479.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard58.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic49.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper98.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard350.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass158.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard344.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass170.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard378.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass164.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper121.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal336.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass13.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard393.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard387.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic225.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper135.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal322.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper109.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic219.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic218.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper108.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard386.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal323.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic224.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal337.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper120.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard392.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass12.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass165.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard379.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass171.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard345.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass159.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard351.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic48.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper478.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal109.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper336.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal121.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic74.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard184.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard65.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass398.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper444.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard190.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic60.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard71.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper322.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal135.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass401.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass367.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass415.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper66.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard147.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper487.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard153.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper72.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass429.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal41.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper518.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal55.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic152.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper242.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper524.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal69.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper530.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic146.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal82.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass207.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/trash132.jpg,trash
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal96.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper281.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic191.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/trash10.jpg,trash
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic185.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper295.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic378.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic436.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal257.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic350.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic344.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal243.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic422.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard219.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic393.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal294.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic387.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard225.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal4.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic383.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal284.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic397.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard235.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic426.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal247.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic340.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic354.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic432.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/trash28.jpg,trash
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/trash136.jpg,trash
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass217.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal86.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/trash122.jpg,trash
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper291.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic181.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper285.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper508.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal51.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal45.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic142.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper252.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper534.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/metal79.jpg,metal
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper246.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/plastic156.jpg,plastic
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass377.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass363.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/glass405.jpg,glass
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper76.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard157.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper483.jpg,paper
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/cardboard143.jpg,cardboard
/Users/siagarg/PycharmProjects/StormHacks OpenCV/ExtDataset/paper62.jpg,paper
